API,API,
API Endpoint,API krajnja tačka,
API Key,API ključ,
API Secret,API tajna,
About,O,
Account,Račun,
Accounting,Knjigovodstvo,
Accounts Manager,Upravitelj Knjigovodstva,
Accounts User,Korisnik Knjigovodstva,
Activity Type,Tip Aktivnosti,
Actual Qty,Stvarna Količina,
Address,Adresa,
All,Svi,
Allocated,Dodjeljeno,
Amount,Iznos,
Banner Image,Slika banera,
Barcode,Barkod,
Batch Size,Veličina Šarže,
Bin,Bin,
Both,Oba,
Branch,Podružnica,
Branch Code,Kod Podružnice,
Cancelled,Otkazano,
Card,Kartica,
Cash,Gotovina,
Cashier,Blagajnik/ca,
Certificate,Certifikat,
Check,Provjeri,
Closed,Zatvoreno,
Closing,Zatvaranje,
Commission Rate,Stopa Provizije,
Company,Poduzeće,
Contact Details,Kontakt detalji,
Cost Center,Centar Troškova,
Coupon Code,Kupon Kod,
Create,Kreiraj,
Credit Card,Kreditna Kartica,
Credit Limit,Kreditno Ograničenje,
Credit Note,Kredit Faktura,
Current Qty,Trenutna Količina,
Customer,Klijent,
Customer Groups,Grupe Klijenta,
Daily,Dnevno,
Dashboard,Nadzorna Tabla,
Default Warehouse,Standard Skladište,
Delete,Izbriši,
Description,Opis,
Desktop,Radna Površina,
Details,Detalji,
Document Name,Naziv Dokumenta,
Document Type,Tip Dokumenta,
Draft,Nacrt,
End Date,Datum Završetka,
Entity,Entitet,
Errors,Greške,
Excel,Excel,
Expired,Isteklo,
Export,Izvoz,
Failed,Neuspješno,
Frappe Support,Frappe Podrška,
Frequency,Učestalost,
From Warehouse,Iz Skladišta,
HTML,HTML,
Hourly,Po satu,
IP Address,IP adresa,
Insurance,Osiguranje,
Inventory,Zalihe,
Invoice Type,Tip Fakture,
Is Active,Aktivno,
Is Default,Je Standard,
Is Frozen,Zaključan,
Item,Artikal,
Item Code,Kod Artikla,
Items,Artikli,
Journal Entry,Nalog Knjiženja,
Keyboard Shortcuts,Prečice Tastature,
Login,Prijava,
Logout,Odjava,
Loyalty Points,Bodovi Lojalnosti,
Manual,Ručno,
Max Amount,Makimalni Iznos,
Min Amount,Minimalni iznos,
Mobile,Mobilni Broj,
Monthly,Mjesečno,
Notes,Napomene,
Open,Otvori,
Other,Ostalo,
PDF,PDF,
POS Profile,Kasa Profil,
Paid,Plaćeno,
Party,Stranka,
Party Type,Tip Stranke,
Passed,Odobreno,
Payment Method,Metoda Uplate,
Payment Terms,Uslovi Plaćanja,
Pending,Na Čekanju,
Percentage,Procenat,
Phone,Telefon,
Price,Cijena,
Print,Ispiši,
Priority,Prioritet,
Production,Proizvodnja,
Purchase Manager,Upravitelj Nabave,
Purchase Order,Kupovni Nalog,
Purchasing,Kupovina,
Qty,Količina,
Receipt,Račun,
Received,Primljeno,
Refresh Token,Osvježi Token,
Rejected,Odbijeno,
Remaining Amount,Preostali Iznos,
Report Name,Naziv Izvještaja,
Report Template,Šablon Izvještaja,
Report Type,Tip Izvještaja,
Required Date,Očekuje se,
Returned Qty,Vraćena Količina,
Role Profile,Profil Uloge,
Row,Red,
Sales,Prodaja,
Sales Invoice,Prodajna Faktura,
Sales Manager,Upravitelj Prodaje,
Sales Summary,Sažetak Prodaje,
Sales User,Korisnik Prodaje,
Schedule,Raspored,
Scope,Obim,
Section,Odjeljak,
Section Code,Kod Sekcije,
Series,Numeričke Serije,
Shipping,Dostava,
Start Date,Datum Početka,
Status,Status,
Stock,Zalihe,
Stock Manager,Upravitelj Skladišta,
Stock User,Skladišni Korisnik,
Submitted,Rezervisano,
Supplier,Dobavljač,
Sync,Sinkronizacija,
System,Sistem,
System Health,Status Sistema,
System Manager,Upravitelj Sistema,
Tax,PDV,
Timestamp,Vremenska Oznaka,
To Warehouse,U Skladište,
Total Tax,Ukupno PDV,
Totals,Ukupno,
UOM,Jedinica,
Update,Ažuriraj,
Urgent,Hitno,
User,Korisnik,
Variance,Odstupanje,
Warehouse,Skladište,
Webhook,Webhook,
Webhook URL,Webhook URL,
Weekly,Sedmično,
