API,API,
API Endpoint,API-Endpunkt,
API Key,API-Schlüssel,
API Secret,API-Geheimnis,
About,Über,
Account,Konto,
Accounting,Buchhaltung,
Accounts Manager,Leitung Buchhaltung,
Accounts User,Buchhaltungsbenutzer,
Activity Type,Aktivitätsart,
Actual Qty,Ist-Menge,
Address,Adresse,
All,Alle,
Allocated,Zugewiesen,
Amount,Betrag,
Banner Image,Banner-Bild,
Barcode,Barcode,
Batch Size,Chargengröße,
Bin,Lagerfach,
Both,Beide,
Branch,Betrieb,
Branch Code,Bankleitzahl / BIC,
Cancelled,Storniert,
Card,Karte,
Cash,Bargeld,
Cashier,Kassierer,
Certificate,Zertifikat,
Check,Prüfen,
Closed,Geschlossen,
Closing,Abschluss,
Commission Rate,Provisionssatz,
Company,Unternehmen,
Contact Details,Kontakt-Details,
Cost Center,Kostenstelle,
Coupon Code,Gutscheincode,
Create,Erstellen,
Credit Card,Kreditkarte,
Credit Limit,Kreditlimit,
Credit Note,Gutschrift,
Current Qty,Aktuelle Anzahl,
Customer,Kunde,
Customer Groups,Kundengruppen,
Daily,Täglich,
Dashboard,Dashboard,
Default Warehouse,Standardlager,
Delete,Löschen,
Description,Beschreibung,
Details,Details,
Document Name,Dokumentenname,
Document Type,Dokumententyp,
Draft,Entwurf,
End Date,Enddatum,
Entity,Entität,
Errors,Fehler,
Excel,Excel,
Expired,Abgelaufen,
Export,Exportieren,
Failed,Fehlgeschlagen,
Frappe Support,Frappe Support,
Frequency,Häufigkeit,
From Warehouse,Ab Lager,
HTML,HTML,
Hourly,Stündlich,
IP Address,IP Adresse,
Insurance,Versicherung,
Inventory,Lagerbestand,
Invoice Type,Rechnungstyp,
Is Active,Ist aktiv,
Is Default,Ist Standard,
Is Frozen,Ist gesperrt,
Item,Artikel,
Item Code,Artikel-Code,
Items,Artikel,
Journal Entry,Buchungssatz,
Keyboard Shortcuts,Tastaturkürzel,
Login,Anmelden,
Logout,Abmelden,
Loyalty Points,Treuepunkte,
Manual,Manuell,
Max Amount,Maximale Menge,
Min Amount,Mindestbetrag,
Mobile,Mobiltelefon,
Monthly,Monatlich,
Notes,Anmerkungen,
Open,Offen,
Other,Andere,
PDF,PDF,
POS Profile,Verkaufsstellen-Profil,
Paid,Bezahlt,
Party,Partei,
Party Type,Partei-Typ,
Passed,Bestanden,
Payment Method,Zahlungsmethode,
Payment Terms,Zahlungsbedingungen,
Pending,Ausstehend,
Percentage,Prozentsatz,
Phone,Telefon,
Price,Preis,
Print,Drucken,
Priority,Priorität,
Production,Produktion,
Purchase Manager,Leitung Einkauf,
Purchase Order,Bestellung,
Purchasing,Einkauf,
Qty,Menge,
Receipt,Beleg,
Received,Empfangen,
Refresh Token,Aktualisieren Token,
Rejected,Abgelehnt,
Remaining Amount,Verbleibender Betrag,
Report Name,Berichtsname,
Report Type,Berichtstyp,
Required Date,Bedarfsdatum,
Returned Qty,Zurückgegebene Menge,
Role Profile,Rollenprofil,
Row,Zeile,
Sales,Vertrieb,
Sales Invoice,Ausgangsrechnung,
Sales Manager,Vertriebsleiter,
Sales Summary,Verkaufszusammenfassung,
Sales User,Nutzer Vertrieb,
Schedule,Planen,
Scope,Geltungsbereich,
Section,Sektion,
Section Code,Abschnittscode,
Series,Nummernkreis,
Shipping,Versand,
Start Date,Startdatum,
Status,Status,
Stock,Lager,
Stock Manager,Lagerleiter,
Stock User,Lager-Benutzer,
Submitted,Gebucht,
Supplier,Lieferant,
Sync,Synchronisieren,
System,System,
System Health,Systemgesundheit,
System Manager,System-Manager,
Tax,Steuer,
Timestamp,Zeitstempel,
To Warehouse,An Lager,
Total Tax,Summe Steuern,
Totals,Summen,
UOM,Einheit,
Update,Aktualisieren,
Urgent,Dringend,
User,Benutzer,
Variance,Abweichung,
Warehouse,Lager,
Webhook,Webhook,
Webhook URL,Webhook-URL,
Weekly,Wöchentlich,
