API,API,
API Endpoint,Endpoint de la API,
API Key,Clave de API,
API Secret,Clave Secreta de API,
About,Acerca de,
Account,Cuenta,
Accounting,Contabilidad,
Accounts Manager,Gerente de Cuentas,
Accounts User,Usuario de Cuentas,
Activity Type,Tipo de actividad,
Actual Qty,Cant. Real,
Address,Dirección,
All,Todos,
Allocated,Numerado,
Amount,Importe,
Banner Image,Imagen de banner,
Barcode,Código de barras,
Batch Size,Tamaño del lote,
Bin,Papelera,
Both,Ambos,
Branch,Sucursal,
Branch Code,Código de Rama,
Cancelled,Cancelado,
Card,Tarjeta,
Cash,Efectivo,
Cashier,Cajero,
Certificate,Certificado,
Check,Marcar,
Closed,Cerrado,
Closing,Cierre,
Commission Rate,Comisión de ventas,
Company,Compañía,
Contact Details,Detalles de contacto,
Cost Center,Centro de costos,
Coupon Code,Código promocional,
Create,Crear,
Credit Card,Tarjetas de credito,
Credit Limit,Límite de crédito,
Credit Note,Nota de crédito,
Current Qty,Cant. Actual,
Customer,Cliente,
Customer Groups,Grupos de Clientes,
Daily,Diario,
Dashboard,Tablero,
Default Warehouse,Almacén por defecto,
Delete,Eliminar,
Desktop,Escritorio,
Details,Detalles,
Document Name,Nombre de Documento,
Document Type,Tipo de Documento,
End Date,Fecha Final,
Entity,Entidad,
Errors,Errores,
Excel,Excel,
Export,Exportar,
Frappe Support,Soporte de Frappe,
Frequency,Frecuencia,
From Warehouse,De Almacén,
HTML,HTML,
Hourly,Cada Hora,
IP Address,Dirección IP,
Inventory,Inventario,
Invoice Type,Tipo de factura,
Is Default,Es por defecto,
Is Frozen,Se encuentra congelado(a),
Item,Producto,
Item Code,Código del Producto,
Items,Productos,
Journal Entry,Asiento contable,
Keyboard Shortcuts,Atajos de teclado,
Login,Iniciar sesión,
Logout,Salir,
Loyalty Points,Puntos de lealtad,
Manual,Manual,
Max Amount,Cantidad Máxima,
Min Amount,Cantidad mínima,
Notes,Notas,
Other,Otro,
PDF,PDF,
POS Profile,Perfil de POS,
Paid,Pagado,
Party,Tercero,
Party Type,Tipo de entidad,
Passed,Aprobado,
Payment Method,Método de pago,
Payment Terms,Términos de pago,
Percentage,Porcentaje,
Price,Precio,
Production,Producción,
Purchase Order,Orden de compra (OC),
Purchasing,Compras,
Qty,Cant.,
Receipt,Recibo,
Refresh Token,Actualizar Token,
Report Name,Nombre del reporte,
Report Type,Tipo de reporte,
Required Date,Fecha de solicitud,
Returned Qty,Cantidad devuelta,
Role Profile,Perfil de Rol,
Row,Línea,
Sales,Ventas,
Sales Invoice,Factura de Venta,
Sales Summary,Resumen de ventas,
Schedule,Calendario,
Scope,Alcance,
Section,Sección,
Section Code,Código de sección,
Series,Secuencia,
Shipping,Envío,
Stock,Almacén,
Stock Manager,Gerente de Almacén,
Stock User,Usuario de Almacén,
Supplier,Proveedor,
Sync,Sincronización,
System,Sistema,
System Health,Salud del sistema,
Tax,Impuesto,
Timestamp,Marca de tiempo,
To Warehouse,Para Almacén,
Total Tax,Impuesto Total,
UOM,UdM,
Urgent,Urgente,
Variance,Variación,
Warehouse,Almacén,
Webhook,Webhook,
Webhook URL,URL de Webhook,
