API,API,
API Endpoint,نقطه پایانی API,
API Key,کلید API,
API Secret,API Secret,
About,درباره,
Accounting,حسابداری,
Accounts Manager,مدیر حسابداری,
Activity Type,نوع فعالیت,
Actual Qty,مقدار واقعی,
Address,آدرس,
All,همه,
Allocated,اختصاص داده شده است,
Amount,مبلغ,
Banner Image,تصویر بنر,
Barcode,بارکد,
Batch Size,اندازه دسته,
Bin,صندوقچه,
Both,هر دو,
Branch,شاخه,
Branch Code,کد شعبه,
Cancelled,لغو شده,
Card,کارت,
Cash,پول نقد,
Cashier,صندوقدار,
Certificate,گواهی,
Check,بررسی,
Closing,بسته شدن,
Commission Rate,نرخ کمیسیون,
Company,شرکت,
Contact Details,اطلاعات تماس,
Cost Center,مرکز هزینه,
Coupon Code,کد تخفیف,
Create,ایجاد کردن,
Credit Card,کارت اعتباری,
Credit Limit,محدودیت اعتبار,
Credit Note,یادداشت بستانکاری,
Current Qty,تعداد فعلی,
Customer,مشتری,
Customer Groups,گروه‌های مشتری,
Daily,روزانه,
Dashboard,داشبورد,
Default Warehouse,انبار پیش‌فرض,
Delete,حذف,
Description,شرح,
Desktop,دسکتاپ,
Details,جزئیات,
Document Name,نام سند,
Document Type,نوع سند,
Draft,پیش‌نویس,
End Date,تاریخ پایان,
Entity,موجودیت,
Errors,خطاها,
Excel,اکسل,
Expired,منقضی شده,
Export,برون‌بُرد,
Failed,ناموفق,
Frappe Support,پشتیبانی Frappe,
Frequency,فرکانس,
From Warehouse,از انبار,
HTML,HTML,
Hourly,ساعتی,
IP Address,آدرس IP,
Insurance,بیمه,
Inventory,فهرست موجودی,
Invoice Type,نوع فاکتور,
Is Active,فعال است,
Is Default,پیش‌فرض است,
Is Frozen,یخ زده است,
Item,آیتم,
Item Code,کد آیتم,
Items,آیتم‌ها,
Journal Entry,ثبت در دفتر روزنامه,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Login,ورود,
Logout,خروج,
Loyalty Points,امتیاز وفاداری,
Manual,دستی,
Max Amount,حداکثر مبلغ,
Min Amount,حداقل مبلغ,
Mobile,تلفن همراه,
Monthly,ماهانه,
Notes,یادداشت,
Open,باز,
Other,سایر,
PDF,PDF,
POS Profile,نمایه POS,
Paid,پرداخت شده,
Party,طرف,
Party Type,نوع طرف,
Passed,گذشت,
Payment Method,روش پرداخت,
Payment Terms,شرایط پرداخت,
Pending,انتظار,
Percentage,درصد,
Phone,تلفن,
Price,قیمت,
Print,چاپ,
Priority,اولویت,
Production,تولید,
Purchase Manager,مدیر خرید,
Purchase Order,سفارش خرید,
Purchasing,خرید,
Qty,مقدار,
Receipt,اعلام وصول,
Refresh Token,Refresh Token,
Rejected,رد شده,
Remaining Amount,مبلغ باقی مانده,
Report Name,نام گزارش,
Report Type,نوع گزارش,
Required Date,تاریخ مورد نیاز,
Returned Qty,مقدار برگردانده شده,
Role Profile,نمایه نقش,
Row,ردیف,
Sales,فروش,
Sales Invoice,فاکتور فروش,
Sales Manager,مدیر فروش,
Sales Summary,خلاصه فروش,
Sales User,کاربر فروش,
Schedule,زمان‌بندی,
Scope,محدوده,
Section,بخش,
Section Code,کد بخش,
Series,سری,
Shipping,حمل و نقل,
Start Date,تاریخ شروع,
Status,وضعیت,
Stock,موجودی,
Stock Manager,مدیر موجودی,
Stock User,کاربر موجودی,
Submitted,ارسال شده,
Supplier,تامین کننده,
Sync,همگام سازی,
System,سیستم,
System Health,سلامت سیستم,
System Manager,مدیر سیستم,
Tax,مالیات,
Timestamp,مهر زمان,
To Warehouse,به انبار,
Total Tax,کل مالیات,
Totals,جمع,
UOM,واحد اندازه گیری,
Update,به‌روزرسانی,
Urgent,فوری,
User,کاربر,
Variance,واریانس,
Warehouse,انبار,
Webhook,وب هوک,
Webhook URL,آدرس وب هوک,
Weekly,هفتگی,
