API,API,
API Endpoint,API Endpoint,
API Key,Clé API,
API Secret,Secret API,
About,A Propos,
Accounting,Comptabilité,
Activity Type,Type d'activité,
Actual Qty,Quantité Réelle,
All,Tous,
Allocated,Alloué,
Amount,Montant,
Banner Image,Image de la bannière,
Batch Size,Taille du lot,
Bin,Boîte,
Both,Tous les deux,
Branch,Branche,
Branch Code,Code de la branche,
Card,Carte,
Cash,Espèces,
Cashier,Caissier,
Certificate,Certificat,
Check,Vérifier,
Closing,Clôture,
Commission Rate,Taux de Commission,
Company,Société,
Contact Details,Coordonnées,
Cost Center,Centre de coûts,
Coupon Code,Code de coupon,
Credit Card,Carte de crédit,
Credit Limit,Limite de crédit,
Credit Note,Note de crédit,
Current Qty,Qté actuelle,
Customer,Client,
Customer Groups,Groupes de Clients,
Default Warehouse,Entrepôt par Défaut,
Description,Description,
Details,Détails,
Entity,Entité,
Export,Exporter,
Frequency,Fréquence,
From Warehouse,De l'Entrepôt,
Hourly,Horaire,
IP Address,Adresse IP,
Inventory,Inventaire,
Invoice Type,Type de facture,
Is Default,Est Défaut,
Is Frozen,Est gelé,
Item,Article,
Item Code,Code de l'Article,
Items,Articles,
Journal Entry,Écriture de Journal,
Keyboard Shortcuts,Raccourcis clavier,
Login,Connexion,
Logout,Déconnecté,
Loyalty Points,Points de fidélité,
Manual,Manuel,
Max Amount,Montant maximum,
Min Amount,Montant minimum,
Notes,Remarques,
Other,Autre,
POS Profile,Profil PDV,
Paid,Payé,
Party,Tiers,
Party Type,Type de Tiers,
Passed,Passé,
Payment Method,Mode de paiement,
Payment Terms,Termes de paiement,
Percentage,Pourcentage,
Price,Prix,
Purchase Order,Commande d'Achat,
Purchasing,Achat,
Qty,Qté,
Receipt,Reçu,
Refresh Token,Jeton de Rafraîchissement,
Report Name,Nom du Rapport,
Report Type,Type de Rapport,
Required Date,Date Requise,
Returned Qty,Qté Retournée,
Role Profile,Profil de rôle,
Row,Ligne,
Sales,Ventes,
Sales Invoice,Facture de vente,
Sales Summary,Récapitulatif des ventes,
Section Code,Code de section,
Series,Séries,
Shipping,livraison,
Stock Manager,Responsable des Stocks,
Stock User,Chargé des Stocks,
Supplier,Fournisseur,
Sync,Synchronisation,
System,Système,
Tax,Taxe,
Timestamp,Horodatage,
To Warehouse,À l'Entrepôt,
Total Tax,Total des Taxes,
UOM,UdM,
Webhook URL,URL du webhook,
