API,API,
API Endpoint,API-endepunkt,
API Key,API-nøkkel,
API Secret,API-hemmelighet,
About,Om,
Account,Konto,
Accounting,Regnskap,
Accounts Manager,Kontoadministrator,
Accounts User,Kontobruker,
Address,Adresse,
All,Alle,
Allocated,Fordelt,
Amount,Beløp,
Barcode,Strekkode,
Cancelled,Avbrutt,
Closed,Lukket,
Company,Selskap,
Cost Center,Kostnadssenter,
Create,Opprett,
Customer,Kunde,
Daily,Daglig,
Dashboard,Oversiktspanel,
Delete,Slett,
Description,Beskrivelse,
Details,Detaljer,
Document Name,Dokumentnavn,
Document Type,Dokumenttype (DocType),
Draft,Utkast,
End Date,Sluttdato,
Errors,Feil,
Expired,Utløpt,
Export,Eksporter,
Failed,Feilet,
Frappe Support,Frappe-støtte,
Frequency,Frekvens,
HTML,HTML,
Is Active,Er aktiv,
Is Default,Er standard,
Item,Artikkel,
Items,Artikler,
Journal Entry,Journalinnføring,
Keyboard Shortcuts,Tastatursnarveier,
Login,Logg inn,
Mobile,Mobil,
Monthly,Månedlig,
Open,Åpne,
PDF,PDF,
Pending,Avventer,
Percentage,Prosentandel,
Phone,Telefon,
Print,Skriv ut,
Priority,Prioritet,
Purchase Manager,Innkjøpsleder,
Received,Mottatt,
Refresh Token,Forny token,
Rejected,Avvist,
Report Name,Rapportnavn,
Role Profile,Modulprofil,
Row,Rad,
Sales Invoice,Salgsfaktura,
Sales Manager,Salgsleder,
Sales User,Salgsmedarbeider,
Schedule,Tidsplan,
Series,Nummerserie,
Start Date,Startdato,
Status,Status,
Stock,Lager,
Submitted,Registrert,
Supplier,Leverandør,
System Health,Systemhelse,
System Manager,Systemansvarlig,
Timestamp,Tidsstempel,
Totals,Totalsummer,
Update,Oppdater,
User,Bruker,
Warehouse,Varehus,
Webhook,Webhook,
Webhook URL,Webhook URL,
Weekly,Ukentlig,
