API,API,
API Endpoint,API Endpoint,
API Key,API ključ,
API Secret,API tajna,
About,O,
Account,Nalog,
Accounting,Računovodstvo,
Accounts Manager,Menadžer naloga,
Accounts User,Korisnik naloga,
Activity Type,Vrsta aktivnosti,
Actual Qty,Stvarna količina,
Address,Adresa,
All,Sve,
Allocated,Raspoređeno,
Amount,Iznos,
Banner Image,Slika banera,
Barcode,Bar-kod,
Batch Size,Veličina šarže,
Bin,Zapis o stanju stavki,
Both,Oba,
Branch,Filijala,
Branch Code,Šifra filijale,
Cancelled,Otkazano,
Card,Kartica,
Cash,Gotovina,
Cashier,Blagajnik,
Certificate,Sertifikat,
Check,Označi,
Closed,Zatvoreno,
Closing,Zatvaranje,
Commission Rate,Provizija,
Company,Kompanija,
Contact Details,Kontakt detalji,
Cost Center,Troškovni centar,
Coupon Code,Šifra kupona,
Create,Kreiraj,
Credit Card,Kreditna kartica,
Credit Limit,Ograničenje potraživanja,
Credit Note,Dokument o smanjenju,
Current Qty,Trenutna količina,
Customer,Kupac,
Customer Groups,Grupe kupaca,
Daily,Dnevno,
Dashboard,Kontrolna tabla,
Default Warehouse,Podrazumevano skladište,
Delete,Obriši,
Description,Opis,
Desktop,Radna površina,
Details,Detalji,
Document Name,Naziv dokumenta,
Document Type,Vrsta dokumenta,
Draft,Nacrt,
End Date,Datum završetka,
Entity,Entitet,
Errors,Greške,
Excel,Excel,
Expired,Isteklo,
Export,Izvoz,
Failed,Neuspešno,
Frappe Support,Frappe podrška,
Frequency,Učestalost,
From Warehouse,Početno skladište,
HTML,HTML,
Hourly,Po času,
IP Address,IP adresa,
Insurance,Osiguranje,
Inventory,Inventar,
Invoice Type,Vrsta fakture,
Is Active,Aktivno,
Is Default,Podrazumevano,
Is Frozen,Zaključano,
Item,Stavka,
Item Code,Šifra stavke,
Items,Stavke,
Journal Entry,Nalog knjiženja,
Keyboard Shortcuts,Prečice na tastaturi,
Login,Prijava,
Logout,Odjava,
Loyalty Points,Poeni lojalnosti,
Manual,Ručno,
Max Amount,Maksimalni iznos,
Min Amount,Minimalni iznos,
Mobile,Mobilni,
Monthly,Mesečno,
Notes,Napomene,
Open,Otvoreno,
Other,Ostalo,
PDF,PDF,
POS Profile,Profil maloprodaje,
Paid,Plaćeno,
Party,Stranka,
Party Type,Vrsta stranke,
Passed,Zadovoljava,
Payment Method,Metod plaćanja,
Payment Terms,Uslovi plaćanja,
Pending,Na čekanju,
Percentage,Procenat,
Phone,Telefon,
Price,Cena,
Print,Štampa,
Priority,Prioritet,
Production,Proizvodnja,
Purchase Manager,Menadžer nabavke,
Purchase Order,Nabavna porudžbina,
Purchasing,Nabavljanje,
Qty,Količina,
Receipt,Prijem,
Received,Primljeno,
Refresh Token,Token za osvežavanje,
Rejected,Odbijeno,
Remaining Amount,Preostali iznos,
Report Name,Naziv izveštaja,
Report Template,Šablon izveštaja,
Report Type,Vrsta izveštaja,
Required Date,Zahtevan datum,
Returned Qty,Vraćena količina,
Role Profile,Profil uloge,
Row,Red,
Sales,Prodaja,
Sales Invoice,Izlazna faktura,
Sales Manager,Menadžer prodaje,
Sales Summary,Rezime prodaje,
Sales User,Korisnik prodaje,
Schedule,Raspored,
Scope,Opseg,
Section,Odeljak,
Section Code,Šifra odeljka,
Series,Serija,
Shipping,Isporuka,
Start Date,Datum početka,
Status,Status,
Stock,Zalihe,
Stock Manager,Menadžer zaliha,
Stock User,Korisnik zaliha,
Submitted,Podneto,
Supplier,Dobavljač,
Sync,Sinhronizuj,
System,Sistem,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
Tax,Porez,
Timestamp,Vremenski žig,
To Warehouse,U skladište,
Total Tax,Ukupno poreza,
Totals,Ukupno,
UOM,Jedinica mere,
Update,Ažuriraj,
Urgent,Hitno,
User,Korisnik,
Variance,Odstupanje,
Warehouse,Skladište,
Webhook,Webhook,
Webhook URL,URL webhook-a,
Weekly,Nedeljno,
