API,API,
API Endpoint,API Endpoint,
API Key,API кључ,
API Secret,API тајна,
About,О,
Account,Налог,
Accounting,Рачуноводство,
Accounts Manager,Менаџер налога,
Accounts User,Корисник налога,
Activity Type,Врста активности,
Actual Qty,Стварна количина,
Address,Адреса,
All,Све,
Allocated,Распоређено,
Amount,Износ,
Banner Image,Слика банера,
Barcode,Бар-код,
Batch Size,Величина шарже,
Bin,Запис о стању ставки,
Both,Оба,
Branch,Филијала,
Branch Code,Шифра филијале,
Cancelled,Отказано,
Card,Картица,
Cash,Готовина,
Cashier,Благајник,
Certificate,Сертификат,
Check,Означи,
Closed,Затворено,
Closing,Затварање,
Commission Rate,Провизија,
Company,Компанија,
Contact Details,Контакт детаљи,
Cost Center,Трошковни центар,
Coupon Code,Шифра купона,
Create,Креирај,
Credit Card,Кредитна картица,
Credit Limit,Ограничење потраживања,
Credit Note,Документ о смањењу,
Current Qty,Тренутна количина,
Customer,Купац,
Customer Groups,Групе купаца,
Daily,Дневно,
Dashboard,Контролна табла,
Default Warehouse,Подразумевано складиште,
Delete,Обриши,
Description,Опис,
Desktop,Радна површина,
Details,Детаљи,
Document Name,Назив документа,
Document Type,Врста документа,
Draft,Нацрт,
End Date,Датум завршетка,
Entity,Ентитет,
Errors,Грешке,
Excel,Excel,
Expired,Истекло,
Export,Извоз,
Failed,Неуспешно,
Frappe Support,Frappe подршка,
Frequency,Учесталост,
From Warehouse,Почетно складиште,
HTML,HTML,
Hourly,По часу,
IP Address,IP адреса,
Insurance,Осигурање,
Inventory,Инвентар,
Invoice Type,Врста фактуре,
Is Active,Активно,
Is Default,Подразумевано,
Is Frozen,Закључано,
Item,Ставка,
Item Code,Шифра ставке,
Items,Ставке,
Journal Entry,Налог књижења,
Keyboard Shortcuts,Пречице на тастатури,
Login,Пријава,
Logout,Одјава,
Loyalty Points,Поени лојалности,
Manual,Ручно,
Max Amount,Максимални износ,
Min Amount,Минимални износ,
Mobile,Мобилни,
Monthly,Месечно,
Notes,Напомене,
Open,Отворено,
Other,Остало,
PDF,PDF,
POS Profile,Профил малопродаје,
Paid,Плаћено,
Party,Странка,
Party Type,Врста странке,
Passed,Задовољава,
Payment Method,Метод плаћања,
Payment Terms,Услови плаћања,
Pending,На чекању,
Percentage,Проценат,
Phone,Телефон,
Price,Цена,
Print,Штампа,
Priority,Приоритет,
Production,Производња,
Purchase Manager,Менаџер набавке,
Purchase Order,Набавна поруџбина,
Purchasing,Набављање,
Qty,Количина,
Receipt,Пријем,
Received,Примљено,
Refresh Token,Токен за освежавање,
Rejected,Одбијено,
Remaining Amount,Преостали износ,
Report Name,Назив извештаја,
Report Template,Шаблон извештаја,
Report Type,Врста извештаја,
Required Date,Захтеван датум,
Returned Qty,Враћена количина,
Role Profile,Профил улоге,
Row,Ред,
Sales,Продаја,
Sales Invoice,Излазна фактура,
Sales Manager,Менаџер продаје,
Sales Summary,Резиме продаје,
Sales User,Корисник продаје,
Schedule,Распоред,
Scope,Опсег,
Section,Одељак,
Section Code,Шифра одељка,
Series,Серија,
Shipping,Испорука,
Start Date,Датум почетка,
Status,Статус,
Stock,Залихе,
Stock Manager,Менаџер залиха,
Stock User,Корисник залиха,
Submitted,Поднето,
Supplier,Добављач,
Sync,Синхронизуј,
System,Систем,
System Health,Стање система,
System Manager,Систем менаџер,
Tax,Порез,
Timestamp,Временски жиг,
To Warehouse,У складиште,
Total Tax,Укупно пореза,
Totals,Укупно,
UOM,Јединица мере,
Update,Ажурирај,
Urgent,Хитно,
User,Корисник,
Variance,Одступање,
Warehouse,Складиште,
Webhook,Webhook,
Webhook URL,URL Webhook -а,
Weekly,Недељно,
