API,API,
API Endpoint,API Slutpunkt,
API Key,API Nyckel,
API Secret,API Hemlighet,
About,Om,
Account,Konto,
Accounting,Bokföring,
Accounts Manager,Bokgöring Ansvarig,
Accounts User,Bokföring Användare,
Activity Type,Aktivitet Typ,
Actual Qty,Faktisk Kvantitet,
Address,Adress,
All,Alla,
Allocated,Tilldelad,
Amount,Belopp,
Banner Image,Banderoll Bild,
Barcode,Streck/Qr Kod,
Batch Size,Parti Kvantitet,
Bin,Papperskorg,
Both,Både,
Branch,Bransch,
Branch Code,Clearing Nummer,
Cancelled,Annullerad,
Card,Kort,
Cash,Kontant,
Cashier,Kassör,
Certificate,Certifikat,
Check,Check,
Closed,Stängd,
Closing,Stänger,
Commission Rate,Provision Sats,
Company,Bolag,
Contact Details,Kontakt Uppgifter,
Cost Center,Resultat Enheter,
Coupon Code,Kupongkod,
Create,Skapa,
Credit Card,Kreditkort,
Credit Limit,Kredit Gräns,
Credit Note,Kredit Faktura,
Current Qty,Aktuell Kvantitet,
Customer,Kund,
Customer Groups,Kund Grupper,
Daily,Dagsvis,
Dashboard,Översikt Panel,
Default Warehouse,Standard Lager,
Delete,Ta bort,
Description,Beskrivning,
Desktop,Skrivbord,
Details,Detaljer,
Document Name,Dokument Namn,
Document Type,DocType,
Draft,Utkast,
End Date,Slut Datum,
Entity,Entitet,
Errors,Fel ,
Excel,Excel,
Expired,Utgått,
Export,Export,
Failed,Misslyckad,
Frappe Support,Frappe Support,
Frequency,Intervall,
From Warehouse,Från Lager,
HTML,HTML,
Hourly,Varje Timme,
IP Address,IP Adress,
Insurance,Försäkring,
Inventory,Lager,
Invoice Type,Faktura Typ,
Is Active,Är Aktiv,
Is Default,Är Standard,
Is Frozen,Är Låst,
Item,Artikel,
Item Code,Artikel Kod,
Items,Artiklar,
Journal Entry,Journal Post,
Keyboard Shortcuts,Kort Kommando,
Login,Logga In,
Logout,Logga ut,
Loyalty Points,Lojalitet Poäng,
Manual,Manuell,
Max Amount,Maximum Belopp,
Min Amount,Minimum Belopp,
Mobile,Mobil,
Monthly,Månadsvis,
Notes,Anteckningar,
Open,Öppen,
Other,Annat,
PDF,PDF,
POS Profile,Kassa Profil,
Paid,Betald,
Party,Parti,
Party Type,Parti Typ,
Passed,Godkänd,
Payment Method,Betalning Sätt,
Payment Terms,Betalning Villkor,
Pending,Pågående,
Percentage,Procentuell,
Phone,Telefon,
Price,Pris,
Print,Utskrift,
Priority,Prioritet,
Production,Produktion,
Purchase Manager,Inköp Ansvarig,
Purchase Order,Inköp Order,
Purchasing,Inköp,
Qty,Kvantitet,
Receipt,Faktura,
Received,Mottagen,
Refresh Token,Uppdatera Token,
Rejected,Avvisad,
Remaining Amount,Återstående Belopp,
Report Name,Rapport Namn,
Report Template,Rapportmall,
Report Type,Rapport Typ,
Required Date,Förväntad Datum,
Returned Qty,Retur Kvantitet,
Role Profile,Roll Profil,
Row,Rad,
Sales,Försäljning,
Sales Invoice,Försäljning Faktura,
Sales Manager,Försäljning Ansvarig,
Sales Summary,Försäljning Översikt,
Sales User,Försäljning Användare,
Schedule,Schema,
Scope,Omfatning,
Section,Sektion,
Section Code,Sektion Kod,
Series,Namngivning Serie,
Shipping,Leverans,
Start Date,Start Datum,
Status,Status,
Stock,Lager,
Stock Manager,Lager Ansvarig,
Stock User,Lager Användare,
Submitted,Godkänd,
Supplier,Leverantör,
Sync,Synkronisera,
System,System,
System Health,System Status,
System Manager,System Ansvarig,
Tax,Moms,
Timestamp,Tid Stämpel,
To Warehouse,Till Lager,
Total Tax,Totalt Moms,
Totals,Totals,
UOM,Enhet,
Update,Uppdatera,
Urgent,Brådskande,
User,Användare,
Variance,Avvikelse,
Warehouse,Lager,
Webhook,Webhook,
Webhook URL,Webhook URL,
Weekly,Veckovis,
