API,API,
API Endpoint,API 端点,
API Key,API 密钥,
API Secret,API 密钥,
About,关于,
Account,科目,
Accounting,会计,
Accounts Manager,会计经理,
Accounts User,会计,
Activity Type,作业类型,
Actual Qty,实际数量,
Address,地址,
All,全部,
Allocated,已分配,
Amount,金额,
Banner Image,横幅图片,
Barcode,条码,
Batch Size,批量,
Bin,储位,
Both,两者,
Branch,分支机构（分公司）,
Branch Code,分支机构代码,
Cancelled,已取消,
Card,卡片,
Cash,现金,
Cashier,出纳员,
Certificate,证书,
Check,检查,
Closed,已关闭,
Closing,成交日期,
Commission Rate,佣金率,
Company,公司,
Contact Details,联系人详情,
Cost Center,成本中心,
Coupon Code,优惠券,
Create,创建,
Credit Card,信用卡,
Credit Limit,信用额度,
Credit Note,退款,
Current Qty,当前库存数量,
Customer,客户,
Customer Groups,客户组,
Daily,每天,
Dashboard,数据面板,
Default Warehouse,默认仓库,
Delete,删除,
Description,描述,
Details,详细信息,
Document Name,单据编号,
Document Type,单据类型,
Draft,草稿,
End Date,结束日期,
Entity,实体,
Errors,错误集,
Excel,Excel,
Expired,已过期,
Export,导出,
Failed,失败,
Frappe Support,Frappe支持,
Frequency,频率,
From Warehouse,发料仓,
HTML,HTML,
Hourly,每小时,
IP Address,IP地址,
Insurance,保险,
Inventory,库存,
Invoice Type,发票类型,
Is Active,生效,
Is Default,默认,
Is Frozen,冻结,
Item,物料,
Item Code,物料号,
Items,物料,
Journal Entry,日记账凭证,
Keyboard Shortcuts,键盘快捷键,
Login,登录,
Logout,注销,
Loyalty Points,积分,
Manual,手动,
Max Amount,最大金额,
Min Amount,最小金额,
Mobile,手机号,
Monthly,每月,
Notes,备注,
Open,待处理,
Other,其他,
PDF,PDF,
POS Invoices,销售点发票,
POS Profile,POS设置,
Paid,已付款,
Party,往来单位,
Party Type,往来类型,
Passed,通过,
Payment Method,付款方式,
Payment Terms,付款条件,
Pending,待处理,
Percentage,百分比,
Phone,电话,
Price,价格,
Print,打印,
Priority,优先级,
Production,生产,
Purchase Manager,采购经理,
Purchase Order,采购订单,
Purchasing,采购,
Qty,数量,
Receipt,采购入库,
Received,已收货,
Refresh Token,刷新令牌,
Rejected,拒绝,
Remaining Amount,剩余金额,
Report Name,报表名称,
Report Type,报告类型,
Required Date,需求日期,
Returned Qty,退回数量,
Role Profile,岗位,
Row,行,
Sales,销售,
Sales Invoice,销售发票,
Sales Manager,销售经理,
Sales Summary,销售统计,
Sales User,销售员,
Schedule,计划任务,
Scope,作用域,
Section,章节,
Section Code,部分代码,
Series,单据编号模板,
Shipping,运输,
Start Date,开始日期,
Status,状态,
Stock,库存,
Stock Manager,仓库经理,
Stock User,仓管员,
Submitted,已提交,
Supplier,供应商,
Sync,同步,
System,系统,
System Health,系统健康状态,
System Manager,系统管理员,
Tax,税,
Timestamp,时间戳,
To Warehouse,收料仓,
Total Tax,总税额,
Totals,总计,
UOM,单位,
Update,更新,
Urgent,紧急,
User,用户,
Variance,差异,
Warehouse,仓库,
Webhook,网络钩子,
Webhook URL,网络钩子URL,
Weekly,每周,
{0} is required,{0}是必填项,
